Threshold,SelectiveAccuracy,CWSA,CWSA+,Coverage,ECE,AURC
0.5,0.9838109602815485,0.9394011223940001,0.9530341587591761,0.9945,0.003581148011999976,0.0008456227162967115
0.5257894736842105,0.984689766317486,0.9381473655311875,0.9530090978721625,0.9928,0.003581148011999976,0.0008456227162967115
0.5515789473684211,0.9855701311806256,0.9367514918835681,0.9529489138094984,0.991,0.003581148011999976,0.0008456227162967115
0.5773684210526315,0.9866450829623634,0.9352002292085928,0.9535005792229704,0.9884,0.003581148011999976,0.0008456227162967115
0.6031578947368421,0.9872210953346856,0.9334943306133954,0.9537141507574209,0.986,0.003581148011999976,0.0008456227162967115
0.6289473684210526,0.9881993896236012,0.9316328281744681,0.9543576786920941,0.983,0.003581148011999976,0.0008456227162967115
0.6547368421052632,0.988890021404546,0.9295404181881098,0.9537164412764043,0.9811,0.003581148011999976,0.0008456227162967115
0.6805263157894736,0.9892747701736466,0.9271757572322901,0.9529806017785326,0.979,0.003581148011999976,0.0008456227162967115
0.7063157894736842,0.9897635377213635,0.9245092526120072,0.9518969164559784,0.9769,0.003581148011999976,0.0008456227162967115
0.7321052631578947,0.9905485925621533,0.9214637092766208,0.9517975250899876,0.9734,0.003581148011999976,0.0008456227162967115
0.7578947368421052,0.9912443345694273,0.9179485935589131,0.9503071561484405,0.9708,0.003581148011999976,0.0008456227162967115
0.7836842105263158,0.9918253311258278,0.9138850457041362,0.9499792079559362,0.9664,0.003581148011999976,0.0008456227162967115
0.8094736842105263,0.9927250051964248,0.909032786740884,0.9486393052029698,0.9622,0.003581148011999976,0.0008456227162967115
0.8352631578947368,0.9936332324392025,0.903030344398083,0.9459869150735336,0.9581,0.003581148011999976,0.0008456227162967115
0.8610526315789473,0.9941238195173138,0.8954810162284091,0.9426075029782348,0.953,0.003581148011999976,0.0008456227162967115
0.8868421052631579,0.9951286667372657,0.8856424471353488,0.9403157968949563,0.9443,0.003581148011999976,0.0008456227162967115
0.9126315789473685,0.9964679439152306,0.8719584577891566,0.9352606274506148,0.9343,0.003581148011999976,0.0008456227162967115
0.9384210526315789,0.9972820178299631,0.8512697344760685,0.9269560128019253,0.9198,0.003581148011999976,0.0008456227162967115
0.9642105263157894,0.998319516020614,0.8131564599205885,0.9119051496602816,0.8926,0.003581148011999976,0.0008456227162967115
0.99,0.9993813412521653,0.690042351,0.8540890973768891,0.8082,0.003581148011999976,0.0008456227162967115
