Threshold,SelectiveAccuracy,CWSA,CWSA+,Coverage,ECE,AURC
0.5,0.7802359882005899,0.44450219757200005,0.6023108807941912,0.8814,0.06719803315200001,0.09834379236948688
0.5257894736842105,0.7931236798873504,0.44169907855837953,0.6133409056731406,0.8522,0.06719803315200001,0.09834379236948688
0.5515789473684211,0.8024140012070006,0.4382920563815727,0.6206124000944927,0.8285,0.06719803315200001,0.09834379236948688
0.5773684210526315,0.8112244897959183,0.43446713342104604,0.6288669150246683,0.8036,0.06719803315200001,0.09834379236948688
0.6031578947368421,0.8178324365872406,0.4303342258612732,0.6357631870848852,0.7806,0.06719803315200001,0.09834379236948688
0.6289473684210526,0.8299139642620781,0.4256893235575886,0.6443553703449417,0.7555,0.06719803315200001,0.09834379236948688
0.6547368421052632,0.8383976018531135,0.42032687590884144,0.6496471493210767,0.7339,0.06719803315200001,0.09834379236948688
0.6805263157894736,0.8479548660084626,0.4143438469261944,0.6575773215545963,0.709,0.06719803315200001,0.09834379236948688
0.7063157894736842,0.8564747149956153,0.40769012812831545,0.6650946351446226,0.6842,0.06719803315200001,0.09834379236948688
0.7321052631578947,0.8652094717668488,0.4002469917937132,0.6726845681858319,0.6588,0.06719803315200001,0.09834379236948688
0.7578947368421052,0.8753353321761086,0.39194587491195654,0.6793343852563642,0.6337,0.06719803315200001,0.09834379236948688
0.7836842105263158,0.8865131578947368,0.3822614450328467,0.6851862681745416,0.608,0.06719803315200001,0.09834379236948688
0.8094736842105263,0.8970588235294118,0.37112216332099446,0.6944187180671595,0.578,0.06719803315200001,0.09834379236948688
0.8352631578947368,0.9075323727886194,0.3582747110396166,0.7014513176265422,0.5483,0.06719803315200001,0.09834379236948688
0.8610526315789473,0.9135612754514022,0.34325698945643945,0.7022928907466915,0.5206,0.06719803315200001,0.09834379236948688
0.8868421052631579,0.9248865043334709,0.32537801040093023,0.7089475200942515,0.4846,0.06719803315200001,0.09834379236948688
0.9126315789473685,0.9357094518384841,0.3034819010939758,0.7160705362831882,0.4433,0.06719803315200001,0.09834379236948688
0.9384210526315789,0.9508905852417303,0.27503896386923077,0.7247133245253489,0.393,0.06719803315200001,0.09834379236948688
0.9642105263157894,0.9659987856709168,0.2328648025279413,0.7243314986517403,0.3294,0.06719803315200001,0.09834379236948688
0.99,0.9861904761904762,0.15050662650000005,0.7238296585714303,0.21,0.06719803315200001,0.09834379236948688
